id,s_date,cpi,max_ws
10,2010-11-26T05:00:00.000Z,126.669,693099
35,2011-11-25T05:00:00.000Z,140.422,649770
10,2011-11-25T05:00:00.000Z,129.836,630999
35,2010-11-26T05:00:00.000Z,136.69,627963
14,2010-11-26T05:00:00.000Z,182.783,474330
20,2010-11-26T05:00:00.000Z,204.962,422306
27,2010-11-26T05:00:00.000Z,136.69,420587
10,2010-12-24T05:00:00.000Z,126.984,406989
22,2010-11-26T05:00:00.000Z,136.69,393705
20,2011-11-25T05:00:00.000Z,211.412,392023
4,2011-11-25T05:00:00.000Z,129.836,385051
4,2010-11-26T05:00:00.000Z,126.669,381072
14,2011-11-25T05:00:00.000Z,188.35,375948
23,2010-11-26T05:00:00.000Z,132.837,369831
27,2011-11-25T05:00:00.000Z,140.422,368484
12,2011-11-25T05:00:00.000Z,129.836,360141
12,2010-11-26T05:00:00.000Z,126.669,359996
14,2010-12-24T05:00:00.000Z,182.545,356867
28,2010-11-26T05:00:00.000Z,126.669,355356
18,2010-11-26T05:00:00.000Z,132.837,353009
28,2011-11-25T05:00:00.000Z,129.836,351764
39,2011-11-25T05:00:00.000Z,217.181,351554
23,2011-11-25T05:00:00.000Z,136.479,347680
22,2011-11-25T05:00:00.000Z,140.422,345532
6,2010-11-26T05:00:00.000Z,213.267,342579
10,2011-12-23T05:00:00.000Z,129.985,341308
19,2010-11-26T05:00:00.000Z,132.837,339846
39,2010-11-26T05:00:00.000Z,210.515,339701
6,2011-11-25T05:00:00.000Z,220.042,326867
4,2011-12-23T05:00:00.000Z,129.985,318422
18,2011-11-25T05:00:00.000Z,136.479,305161
20,2010-12-24T05:00:00.000Z,204.638,303006
4,2010-12-24T05:00:00.000Z,126.984,299060
19,2011-11-25T05:00:00.000Z,136.479,296517
14,2010-02-05T05:00:00.000Z,181.871,293966
15,2010-11-26T05:00:00.000Z,132.837,292555
13,2010-12-24T05:00:00.000Z,126.984,292166
41,2010-11-26T05:00:00.000Z,191.012,290809
2,2010-11-26T05:00:00.000Z,211.406,285354
31,2011-11-25T05:00:00.000Z,218.113,274558
12,2010-12-24T05:00:00.000Z,126.984,271698
41,2011-11-25T05:00:00.000Z,195.77,271392
13,2011-11-25T05:00:00.000Z,129.836,268878
10,2010-12-17T05:00:00.000Z,126.879,268790
13,2010-11-26T05:00:00.000Z,126.669,266917
29,2010-11-26T05:00:00.000Z,132.837,266481
2,2010-12-24T05:00:00.000Z,211.065,264837
2,2011-11-25T05:00:00.000Z,218.113,263558
31,2010-11-26T05:00:00.000Z,211.406,261022
14,2011-12-23T05:00:00.000Z,188.93,260736
13,2011-12-23T05:00:00.000Z,129.985,259669
15,2011-11-25T05:00:00.000Z,136.479,257440
2,2011-12-23T05:00:00.000Z,219,257375
29,2011-11-25T05:00:00.000Z,136.479,254642
11,2010-11-26T05:00:00.000Z,215.061,245767
11,2011-11-25T05:00:00.000Z,221.901,245019
21,2011-11-25T05:00:00.000Z,218.113,244641
21,2010-11-26T05:00:00.000Z,211.406,242590
21,2010-12-24T05:00:00.000Z,211.065,241330
14,2011-08-26T04:00:00.000Z,186.564,241120
45,2010-11-26T05:00:00.000Z,182.783,240759
11,2010-12-24T05:00:00.000Z,214.702,235557
28,2010-12-24T05:00:00.000Z,126.984,234363
24,2010-11-26T05:00:00.000Z,132.837,233372
10,2012-02-10T05:00:00.000Z,130.385,233140
10,2010-02-05T05:00:00.000Z,126.442,232559
14,2010-12-17T05:00:00.000Z,182.518,231170
