dept,dep_sale
92,4.84E+08
95,4.49E+08
38,3.93E+08
72,3.06E+08
90,2.91E+08
40,2.89E+08
2,2.81E+08
91,2.17E+08
13,1.97E+08
8,1.94E+08
94,1.90E+08
4,1.67E+08
93,1.60E+08
7,1.55E+08
79,1.41E+08
23,1.38E+08
5,1.36E+08
9,1.28E+08
46,1.28E+08
1,1.24E+08
10,1.18E+08
81,9.96E+07
82,9.95E+07
14,9.57E+07
11,9.33E+07
16,9.17E+07
97,8.95E+07
74,8.88E+07
87,8.58E+07
34,8.32E+07
3,7.59E+07
96,7.38E+07
80,7.18E+07
17,6.53E+07
55,6.00E+07
22,5.97E+07
25,5.71E+07
67,4.79E+07
26,4.39E+07
32,4.07E+07
98,3.98E+07
18,3.69E+07
49,3.66E+07
33,3.49E+07
24,3.43E+07
20,3.33E+07
42,3.32E+07
21,3.21E+07
71,3.04E+07
29,3.00E+07
6,2.84E+07
12,2.68E+07
44,2.54E+07
56,2.25E+07
30,2.18E+07
83,2.00E+07
58,1.63E+07
35,1.55E+07
31,1.42E+07
85,1.37E+07
52,1.21E+07
36,1.07E+07
41,1.06E+07
27,8.90E+06
37,8.02E+06
19,6.82E+06
65,6.50E+06
59,4.24E+06
50,4.15E+06
28,3.79E+06
48,2.34E+06
60,2.01E+06
54,516294.63
99,358149.85
77,49344.27
45,44937.63
51,30572.83
78,1714.71
39,177.98
43,14.32
47,-4962.93
