id,s_date,fuel_price,max_ws
10,2010-11-26T05:00:00.000Z,3.162,693099
35,2011-11-25T05:00:00.000Z,3.492,649770
10,2011-11-25T05:00:00.000Z,3.76,630999
35,2010-11-26T05:00:00.000Z,3.039,627963
14,2010-11-26T05:00:00.000Z,3.039,474330
20,2010-11-26T05:00:00.000Z,3.039,422306
27,2010-11-26T05:00:00.000Z,3.186,420587
10,2010-12-24T05:00:00.000Z,3.236,406989
22,2010-11-26T05:00:00.000Z,3.07,393705
20,2011-11-25T05:00:00.000Z,3.492,392023
4,2011-11-25T05:00:00.000Z,3.225,385051
4,2010-11-26T05:00:00.000Z,2.752,381072
14,2011-11-25T05:00:00.000Z,3.492,375948
23,2010-11-26T05:00:00.000Z,3.07,369831
27,2011-11-25T05:00:00.000Z,3.689,368484
12,2011-11-25T05:00:00.000Z,3.622,360141
12,2010-11-26T05:00:00.000Z,3.162,359996
14,2010-12-24T05:00:00.000Z,3.141,356867
28,2010-11-26T05:00:00.000Z,3.162,355356
18,2010-11-26T05:00:00.000Z,3.07,353009
28,2011-11-25T05:00:00.000Z,3.622,351764
39,2011-11-25T05:00:00.000Z,3.236,351554
23,2011-11-25T05:00:00.000Z,3.536,347680
22,2011-11-25T05:00:00.000Z,3.536,345532
6,2010-11-26T05:00:00.000Z,2.735,342579
10,2011-12-23T05:00:00.000Z,3.541,341308
19,2010-11-26T05:00:00.000Z,3.186,339846
39,2010-11-26T05:00:00.000Z,2.735,339701
6,2011-11-25T05:00:00.000Z,3.236,326867
4,2011-12-23T05:00:00.000Z,3.103,318422
18,2011-11-25T05:00:00.000Z,3.536,305161
20,2010-12-24T05:00:00.000Z,3.141,303006
4,2010-12-24T05:00:00.000Z,2.887,299060
19,2011-11-25T05:00:00.000Z,3.689,296517
14,2010-02-05T05:00:00.000Z,2.784,293966
15,2010-11-26T05:00:00.000Z,3.186,292555
13,2010-12-24T05:00:00.000Z,2.846,292166
41,2010-11-26T05:00:00.000Z,2.742,290809
2,2010-11-26T05:00:00.000Z,2.735,285354
31,2011-11-25T05:00:00.000Z,3.236,274558
12,2010-12-24T05:00:00.000Z,3.236,271698
41,2011-11-25T05:00:00.000Z,3.424,271392
13,2011-11-25T05:00:00.000Z,3.445,268878
10,2010-12-17T05:00:00.000Z,3.125,268790
13,2010-11-26T05:00:00.000Z,2.83,266917
29,2010-11-26T05:00:00.000Z,3.07,266481
2,2010-12-24T05:00:00.000Z,2.886,264837
2,2011-11-25T05:00:00.000Z,3.236,263558
31,2010-11-26T05:00:00.000Z,2.735,261022
14,2011-12-23T05:00:00.000Z,3.389,260736
13,2011-12-23T05:00:00.000Z,3.186,259669
15,2011-11-25T05:00:00.000Z,3.689,257440
2,2011-12-23T05:00:00.000Z,3.112,257375
29,2011-11-25T05:00:00.000Z,3.536,254642
11,2010-11-26T05:00:00.000Z,2.735,245767
11,2011-11-25T05:00:00.000Z,3.236,245019
21,2011-11-25T05:00:00.000Z,3.236,244641
21,2010-11-26T05:00:00.000Z,2.735,242590
21,2010-12-24T05:00:00.000Z,2.886,241330
14,2011-08-26T04:00:00.000Z,3.704,241120
45,2010-11-26T05:00:00.000Z,3.039,240759
11,2010-12-24T05:00:00.000Z,2.886,235557
28,2010-12-24T05:00:00.000Z,3.236,234363
24,2010-11-26T05:00:00.000Z,3.186,233372
10,2012-02-10T05:00:00.000Z,3.722,233140
10,2010-02-05T05:00:00.000Z,2.962,232559
14,2010-12-17T05:00:00.000Z,3.14,231170
27,2010-12-24T05:00:00.000Z,3.309,230034
35,2010-12-24T05:00:00.000Z,3.141,229484
14,2011-12-09T05:00:00.000Z,3.415,227088
39,2010-12-24T05:00:00.000Z,2.886,226252
23,2010-12-24T05:00:00.000Z,3.15,225156
39,2011-12-23T05:00:00.000Z,3.112,225134
14,2012-04-06T04:00:00.000Z,3.996,224918
20,2011-12-23T05:00:00.000Z,3.389,224650
22,2010-12-24T05:00:00.000Z,3.15,223966
7,2011-11-25T05:00:00.000Z,3.424,222921
10,2011-02-11T05:00:00.000Z,3.381,222651
14,2011-10-07T04:00:00.000Z,3.583,221834
14,2010-12-10T05:00:00.000Z,3.109,221013
32,2011-11-25T05:00:00.000Z,3.424,220380
10,2010-12-03T05:00:00.000Z,3.041,218560
32,2010-11-26T05:00:00.000Z,2.742,217016
4,2010-12-17T05:00:00.000Z,2.884,216877
14,2011-09-09T04:00:00.000Z,3.738,214449
14,2010-03-05T05:00:00.000Z,2.777,214383
14,2012-03-09T05:00:00.000Z,3.848,213636
14,2012-02-10T05:00:00.000Z,3.64,213557
13,2010-12-17T05:00:00.000Z,2.842,211387
20,2011-12-16T05:00:00.000Z,3.413,210878
14,2010-10-08T04:00:00.000Z,2.764,210597
19,2010-12-24T05:00:00.000Z,3.309,210462
14,2011-12-16T05:00:00.000Z,3.413,209599
20,2012-04-06T04:00:00.000Z,3.996,209580
14,2011-11-04T04:00:00.000Z,3.551,208505
14,2011-02-04T05:00:00.000Z,3.231,207825
10,2011-02-18T05:00:00.000Z,3.43,207773
6,2010-12-24T05:00:00.000Z,2.886,207052
14,2010-11-05T04:00:00.000Z,2.917,206935
14,2012-01-06T05:00:00.000Z,3.422,206872
12,2011-12-23T05:00:00.000Z,3.541,206594
14,2012-06-08T04:00:00.000Z,3.689,206576
24,2011-11-25T05:00:00.000Z,3.689,206506
14,2011-11-11T05:00:00.000Z,3.53,206465
14,2010-05-07T04:00:00.000Z,2.966,206160
14,2011-04-08T04:00:00.000Z,3.72,206017
2,2010-11-19T05:00:00.000Z,2.771,205829
23,2011-12-23T05:00:00.000Z,3.413,205813
10,2011-02-25T05:00:00.000Z,3.398,205508
10,2011-12-16T05:00:00.000Z,3.489,205407
14,2010-09-10T04:00:00.000Z,2.699,205315
14,2010-02-26T05:00:00.000Z,2.754,205251
20,2012-02-10T05:00:00.000Z,3.64,205200
2,2011-12-16T05:00:00.000Z,3.159,204935
