id,s_date,temperature,max_ws
10,2010-11-26T05:00:00.000Z,55.33,693099
35,2011-11-25T05:00:00.000Z,47.88,649770
10,2011-11-25T05:00:00.000Z,60.68,630999
35,2010-11-26T05:00:00.000Z,46.67,627963
14,2010-11-26T05:00:00.000Z,46.15,474330
20,2010-11-26T05:00:00.000Z,46.66,422306
27,2010-11-26T05:00:00.000Z,46.67,420587
10,2010-12-24T05:00:00.000Z,57.06,406989
22,2010-11-26T05:00:00.000Z,44.61,393705
20,2011-11-25T05:00:00.000Z,46.38,392023
4,2011-11-25T05:00:00.000Z,47.96,385051
4,2010-11-26T05:00:00.000Z,48.08,381072
14,2011-11-25T05:00:00.000Z,48.71,375948
23,2010-11-26T05:00:00.000Z,34.95,369831
27,2011-11-25T05:00:00.000Z,47.88,368484
12,2011-11-25T05:00:00.000Z,53.25,360141
12,2010-11-26T05:00:00.000Z,47.66,359996
14,2010-12-24T05:00:00.000Z,30.59,356867
28,2010-11-26T05:00:00.000Z,47.66,355356
18,2010-11-26T05:00:00.000Z,40.81,353009
28,2011-11-25T05:00:00.000Z,53.25,351764
39,2011-11-25T05:00:00.000Z,66.36,351554
23,2011-11-25T05:00:00.000Z,35.23,347680
22,2011-11-25T05:00:00.000Z,46.28,345532
6,2010-11-26T05:00:00.000Z,65.79,342579
10,2011-12-23T05:00:00.000Z,48.36,341308
19,2010-11-26T05:00:00.000Z,42.62,339846
39,2010-11-26T05:00:00.000Z,67.75,339701
6,2011-11-25T05:00:00.000Z,62.78,326867
4,2011-12-23T05:00:00.000Z,35.92,318422
18,2011-11-25T05:00:00.000Z,41.97,305161
20,2010-12-24T05:00:00.000Z,25.17,303006
4,2010-12-24T05:00:00.000Z,43.21,299060
19,2011-11-25T05:00:00.000Z,42.75,296517
14,2010-02-05T05:00:00.000Z,27.31,293966
15,2010-11-26T05:00:00.000Z,40.71,292555
13,2010-12-24T05:00:00.000Z,34.9,292166
41,2010-11-26T05:00:00.000Z,25.3,290809
2,2010-11-26T05:00:00.000Z,62.98,285354
31,2011-11-25T05:00:00.000Z,56.43,274558
12,2010-12-24T05:00:00.000Z,52.02,271698
41,2011-11-25T05:00:00.000Z,36.37,271392
13,2011-11-25T05:00:00.000Z,38.89,268878
10,2010-12-17T05:00:00.000Z,59.15,268790
13,2010-11-26T05:00:00.000Z,28.22,266917
29,2010-11-26T05:00:00.000Z,44.61,266481
2,2010-12-24T05:00:00.000Z,49.97,264837
2,2011-11-25T05:00:00.000Z,56.36,263558
31,2010-11-26T05:00:00.000Z,62.96,261022
14,2011-12-23T05:00:00.000Z,42.27,260736
13,2011-12-23T05:00:00.000Z,24.76,259669
15,2011-11-25T05:00:00.000Z,41.1,257440
2,2011-12-23T05:00:00.000Z,46.66,257375
29,2011-11-25T05:00:00.000Z,46.28,254642
11,2010-11-26T05:00:00.000Z,69.9,245767
11,2011-11-25T05:00:00.000Z,70.03,245019
21,2011-11-25T05:00:00.000Z,56.43,244641
21,2010-11-26T05:00:00.000Z,62.96,242590
21,2010-12-24T05:00:00.000Z,51.29,241330
14,2011-08-26T04:00:00.000Z,72.55,241120
45,2010-11-26T05:00:00.000Z,46.15,240759
11,2010-12-24T05:00:00.000Z,59.33,235557
28,2010-12-24T05:00:00.000Z,52.02,234363
24,2010-11-26T05:00:00.000Z,41.92,233372
10,2012-02-10T05:00:00.000Z,55.73,233140
10,2010-02-05T05:00:00.000Z,54.34,232559
14,2010-12-17T05:00:00.000Z,30.51,231170
27,2010-12-24T05:00:00.000Z,31.34,230034
35,2010-12-24T05:00:00.000Z,31.34,229484
14,2011-12-09T05:00:00.000Z,46.57,227088
39,2010-12-24T05:00:00.000Z,58.86,226252
23,2010-12-24T05:00:00.000Z,22.96,225156
39,2011-12-23T05:00:00.000Z,54.62,225134
14,2012-04-06T04:00:00.000Z,49.73,224918
20,2011-12-23T05:00:00.000Z,40.19,224650
22,2010-12-24T05:00:00.000Z,29.76,223966
7,2011-11-25T05:00:00.000Z,27.6,222921
10,2011-02-11T05:00:00.000Z,51.51,222651
14,2011-10-07T04:00:00.000Z,55.82,221834
14,2010-12-10T05:00:00.000Z,30.54,221013
32,2011-11-25T05:00:00.000Z,40.22,220380
10,2010-12-03T05:00:00.000Z,51.17,218560
32,2010-11-26T05:00:00.000Z,29.97,217016
4,2010-12-17T05:00:00.000Z,46.57,216877
14,2011-09-09T04:00:00.000Z,71.48,214449
14,2010-03-05T05:00:00.000Z,37.13,214383
14,2012-03-09T05:00:00.000Z,45.52,213636
14,2012-02-10T05:00:00.000Z,37,213557
13,2010-12-17T05:00:00.000Z,35.21,211387
20,2011-12-16T05:00:00.000Z,37.16,210878
14,2010-10-08T04:00:00.000Z,56.49,210597
19,2010-12-24T05:00:00.000Z,26.05,210462
14,2011-12-16T05:00:00.000Z,39.93,209599
20,2012-04-06T04:00:00.000Z,50.06,209580
14,2011-11-04T04:00:00.000Z,43.92,208505
14,2011-02-04T05:00:00.000Z,28.73,207825
10,2011-02-18T05:00:00.000Z,61.77,207773
6,2010-12-24T05:00:00.000Z,55.07,207052
14,2010-11-05T04:00:00.000Z,45.65,206935
14,2012-01-06T05:00:00.000Z,35.88,206872
12,2011-12-23T05:00:00.000Z,45.4,206594
14,2012-06-08T04:00:00.000Z,64.3,206576
24,2011-11-25T05:00:00.000Z,41.83,206506
14,2011-11-11T05:00:00.000Z,47.65,206465
14,2010-05-07T04:00:00.000Z,70.75,206160
14,2011-04-08T04:00:00.000Z,48.71,206017
2,2010-11-19T05:00:00.000Z,50.81,205829
23,2011-12-23T05:00:00.000Z,27.8,205813
10,2011-02-25T05:00:00.000Z,53.59,205508
10,2011-12-16T05:00:00.000Z,50.53,205407
14,2010-09-10T04:00:00.000Z,70.87,205315
14,2010-02-26T05:00:00.000Z,34.89,205251
20,2012-02-10T05:00:00.000Z,33.47,205200
2,2011-12-16T05:00:00.000Z,50.13,204935
2,2011-11-18T05:00:00.000Z,62.01,204812
14,2010-08-06T04:00:00.000Z,77.17,204695
13,2011-12-16T05:00:00.000Z,27.85,204198
1,2011-11-25T05:00:00.000Z,60.14,203670
14,2010-04-02T04:00:00.000Z,47.74,203457
11,2011-12-23T05:00:00.000Z,54.29,202870
18,2010-12-24T05:00:00.000Z,28.16,202655
10,2010-02-12T05:00:00.000Z,49.96,202622
27,2011-12-23T05:00:00.000Z,41.59,202270
4,2011-11-18T05:00:00.000Z,50.44,202030
2,2010-12-17T05:00:00.000Z,47.55,201863
14,2012-05-04T04:00:00.000Z,55.21,200790
14,2010-11-12T05:00:00.000Z,46.14,200451
14,2011-03-04T05:00:00.000Z,38.65,200367
20,2011-11-11T05:00:00.000Z,47.27,199274
10,2011-02-04T05:00:00.000Z,44.88,198884
14,2011-01-07T05:00:00.000Z,34.32,198789
25,2010-11-26T05:00:00.000Z,43.43,198720
14,2010-09-03T04:00:00.000Z,78.37,198705
13,2011-11-18T05:00:00.000Z,40.65,198587
14,2012-02-03T05:00:00.000Z,42.96,198551
14,2010-07-02T04:00:00.000Z,76.61,198349
20,2011-12-09T05:00:00.000Z,41.64,198054
45,2011-11-25T05:00:00.000Z,48.71,198041
20,2012-01-13T05:00:00.000Z,37.79,197650
14,2010-11-19T05:00:00.000Z,50.02,197466
14,2011-08-05T04:00:00.000Z,78.22,197416
20,2010-12-10T05:00:00.000Z,24.27,197375
14,2010-03-12T05:00:00.000Z,45.8,197070
20,2011-11-18T05:00:00.000Z,49.3,196839
1,2010-11-26T05:00:00.000Z,64.52,196810
14,2011-05-06T04:00:00.000Z,58.21,196628
26,2010-11-26T05:00:00.000Z,28.11,196616
2,2011-12-09T05:00:00.000Z,41.76,195954
4,2011-12-16T05:00:00.000Z,36.44,195604
2,2011-02-11T05:00:00.000Z,33.19,195483
13,2011-11-11T05:00:00.000Z,33.8,195400
20,2010-02-05T05:00:00.000Z,25.92,195224
13,2011-10-07T04:00:00.000Z,60.62,194865
1,2011-12-23T05:00:00.000Z,47.96,194840
20,2012-03-09T05:00:00.000Z,41.14,194732
14,2010-06-11T04:00:00.000Z,69.71,194724
17,2011-11-25T05:00:00.000Z,32.81,194661
13,2011-12-09T05:00:00.000Z,24.82,194474
14,2012-05-11T04:00:00.000Z,61.24,194035
20,2012-08-10T04:00:00.000Z,75.4,194032
2,2012-10-05T04:00:00.000Z,70.27,192861
18,2011-12-23T05:00:00.000Z,35.78,192696
14,2011-11-18T05:00:00.000Z,51.34,192681
2,2012-10-12T04:00:00.000Z,60.97,192456
14,2010-02-19T05:00:00.000Z,31.27,192282
19,2011-12-23T05:00:00.000Z,36.09,192010
10,2010-03-05T05:00:00.000Z,55.92,191990
14,2010-07-09T04:00:00.000Z,82.45,191982
20,2012-07-13T04:00:00.000Z,78.27,191882
14,2011-04-22T04:00:00.000Z,53.04,191841
14,2011-03-11T05:00:00.000Z,45.01,191167
20,2012-10-12T04:00:00.000Z,47.2,191136
2,2011-11-11T05:00:00.000Z,59.33,190980
14,2011-06-10T04:00:00.000Z,73.88,190737
20,2011-01-14T05:00:00.000Z,20.39,190729
14,2012-09-07T04:00:00.000Z,75.7,190580
14,2012-03-02T05:00:00.000Z,41.55,190545
20,2010-12-17T05:00:00.000Z,24.07,190354
10,2012-02-17T05:00:00.000Z,54.12,190138
14,2010-06-04T04:00:00.000Z,75.93,190128
25,2011-11-25T05:00:00.000Z,43.49,189533
20,2011-02-04T05:00:00.000Z,28.58,189494
14,2011-02-11T05:00:00.000Z,30.3,189115
20,2012-06-08T04:00:00.000Z,62.01,188979
2,2010-12-10T05:00:00.000Z,45.5,188810
14,2011-07-08T04:00:00.000Z,77.49,188688
14,2010-06-18T04:00:00.000Z,72.62,188046
14,2011-10-14T04:00:00.000Z,63.82,187911
14,2010-05-28T04:00:00.000Z,69.27,187739
20,2011-10-07T04:00:00.000Z,52.42,187148
20,2012-10-05T04:00:00.000Z,60.77,187027
2,2012-02-17T05:00:00.000Z,43.82,186889
4,2012-02-10T05:00:00.000Z,33,186880
20,2012-09-14T04:00:00.000Z,64.84,186759
4,2012-01-13T05:00:00.000Z,34.41,186644
4,2012-10-05T04:00:00.000Z,63.07,186275
4,2011-12-09T05:00:00.000Z,31.64,186204
20,2011-11-04T04:00:00.000Z,43.88,186065
10,2010-02-26T05:00:00.000Z,52.77,186002
35,2011-12-23T05:00:00.000Z,41.59,185794
14,2012-02-17T05:00:00.000Z,36.85,185745
14,2012-01-20T05:00:00.000Z,31.85,185683
13,2012-03-16T04:00:00.000Z,52.5,185619
20,2012-02-17T05:00:00.000Z,31.11,185463
4,2012-04-06T04:00:00.000Z,67.69,185383
20,2012-07-06T04:00:00.000Z,79.2,185215
2,2012-04-06T04:00:00.000Z,68.43,185061
10,2010-02-19T05:00:00.000Z,58.22,184982
13,2012-10-12T04:00:00.000Z,55.1,184760
20,2012-05-11T04:00:00.000Z,63.19,184634
20,2010-04-16T04:00:00.000Z,55.43,184592
2,2012-02-10T05:00:00.000Z,46.98,184489
13,2012-10-19T04:00:00.000Z,52.06,184451
13,2012-02-10T05:00:00.000Z,33.73,184390
14,2012-02-24T05:00:00.000Z,42.86,184077
13,2012-01-20T05:00:00.000Z,32.71,183931
4,2012-01-06T05:00:00.000Z,38.64,183928
13,2012-02-17T05:00:00.000Z,36.57,183900
20,2012-01-20T05:00:00.000Z,27.65,183871
13,2012-10-26T04:00:00.000Z,46.97,183484
14,2011-10-28T04:00:00.000Z,51.78,183447
20,2012-02-03T05:00:00.000Z,39.93,183394
7,2010-11-26T05:00:00.000Z,17.95,183338
2,2011-02-04T05:00:00.000Z,38.25,183305
13,2012-06-15T04:00:00.000Z,65.97,183229
14,2010-05-21T04:00:00.000Z,62.62,183183
14,2010-04-23T04:00:00.000Z,53.47,183147
20,2011-10-14T04:00:00.000Z,62.54,182995
4,2011-11-11T05:00:00.000Z,47.12,182940
4,2010-11-19T05:00:00.000Z,48.05,182936
13,2012-03-09T05:00:00.000Z,38.24,182559
20,2012-06-15T04:00:00.000Z,71.51,182449
27,2011-08-26T04:00:00.000Z,72.88,182446
13,2012-09-07T04:00:00.000Z,70.65,182297
2,2012-09-07T04:00:00.000Z,87.65,182189
14,2010-10-15T04:00:00.000Z,58.61,182166
2,2010-02-12T05:00:00.000Z,38.49,182143
2,2012-01-13T05:00:00.000Z,45.99,182047
13,2012-08-17T04:00:00.000Z,79.4,182032
13,2011-11-04T04:00:00.000Z,43.51,181936
23,2010-12-17T05:00:00.000Z,23.05,181905
13,2012-04-06T04:00:00.000Z,48.85,181895
4,2012-02-17T05:00:00.000Z,34.19,181813
14,2010-08-13T04:00:00.000Z,78.44,181730
2,2011-01-14T05:00:00.000Z,33.02,181576
13,2012-10-05T04:00:00.000Z,61.79,181472
1,2010-12-24T05:00:00.000Z,52.33,181376
2,2012-06-08T04:00:00.000Z,78.69,181332
2,2010-11-12T05:00:00.000Z,59.69,181297
13,2012-04-20T04:00:00.000Z,50.24,181184
20,2010-08-13T04:00:00.000Z,75.98,181158
14,2011-10-21T04:00:00.000Z,59.6,181128
4,2012-09-14T04:00:00.000Z,68.2,180938
20,2010-11-12T05:00:00.000Z,42.38,180840
22,2011-12-23T05:00:00.000Z,39.83,180773
14,2010-10-22T04:00:00.000Z,53.15,180586
14,2010-04-09T04:00:00.000Z,65.45,180584
14,2011-05-20T04:00:00.000Z,62.28,180525
14,2010-08-20T04:00:00.000Z,76.01,180468
4,2012-01-20T05:00:00.000Z,42.09,180360
14,2011-02-25T05:00:00.000Z,35.78,180355
14,2012-05-25T04:00:00.000Z,67.21,180252
41,2010-12-24T05:00:00.000Z,29.81,180251
14,2010-09-17T04:00:00.000Z,66.55,179946
13,2012-07-20T04:00:00.000Z,75.69,179823
20,2012-01-06T05:00:00.000Z,33.42,179796
13,2012-06-08T04:00:00.000Z,68.4,179696
13,2012-09-21T04:00:00.000Z,67.96,179575
4,2012-10-12T04:00:00.000Z,57.11,179527
2,2012-09-14T04:00:00.000Z,75.88,179420
13,2012-03-02T05:00:00.000Z,32.36,179408
14,2012-03-16T04:00:00.000Z,50.56,179179
4,2011-11-04T04:00:00.000Z,49.86,179147
2,2012-07-06T04:00:00.000Z,84.2,179105
2,2010-02-05T05:00:00.000Z,40.19,178983
20,2010-07-02T04:00:00.000Z,70.1,178966
14,2011-03-18T04:00:00.000Z,46.66,178875
14,2010-06-25T04:00:00.000Z,79.32,178621
20,2012-08-17T04:00:00.000Z,69.57,178604
13,2012-07-06T04:00:00.000Z,79.23,178572
4,2012-06-15T04:00:00.000Z,80.94,178542
13,2012-01-13T05:00:00.000Z,25.61,178456
4,2012-02-03T05:00:00.000Z,41.81,178296
14,2011-09-23T04:00:00.000Z,63.75,178289
13,2012-01-06T05:00:00.000Z,33.8,178258
20,2010-11-05T04:00:00.000Z,42.78,178190
4,2011-10-07T04:00:00.000Z,65.79,178151
14,2012-01-13T05:00:00.000Z,41.18,178049
20,2012-09-07T04:00:00.000Z,76.36,178043
14,2010-03-19T04:00:00.000Z,48.79,178029
4,2012-09-07T04:00:00.000Z,82.09,177979
35,2010-02-19T05:00:00.000Z,32.44,177836
14,2010-12-03T05:00:00.000Z,40.93,177804
14,2010-07-16T04:00:00.000Z,77.84,177803
20,2011-09-09T04:00:00.000Z,68.74,177797
14,2011-01-14T05:00:00.000Z,24.78,177641
41,2011-12-23T05:00:00.000Z,25.59,177638
27,2010-02-05T05:00:00.000Z,27.19,177606
10,2010-12-10T05:00:00.000Z,60.51,177442
14,2011-09-16T04:00:00.000Z,69.17,177438
4,2012-10-19T04:00:00.000Z,64.46,177407
2,2012-01-06T05:00:00.000Z,46.75,177356
4,2011-06-17T04:00:00.000Z,83.51,177156
17,2010-11-26T05:00:00.000Z,19.03,177156
14,2010-05-14T04:00:00.000Z,54.26,177116
2,2012-03-09T05:00:00.000Z,57.11,177088
14,2010-04-30T04:00:00.000Z,53.15,177014
20,2012-03-16T04:00:00.000Z,53.73,176690
13,2011-10-21T04:00:00.000Z,54.66,176632
20,2011-03-11T05:00:00.000Z,39.53,176574
2,2012-02-03T05:00:00.000Z,55.21,176422
13,2012-02-03T05:00:00.000Z,31.39,176393
2,2011-10-07T04:00:00.000Z,69.92,176376
13,2012-05-11T04:00:00.000Z,56.47,176346
20,2010-11-19T05:00:00.000Z,45.88,176338
4,2012-03-09T05:00:00.000Z,53.63,176297
2,2010-11-05T04:00:00.000Z,57.85,176197
13,2012-09-14T04:00:00.000Z,68.55,176190
